Description,SNOMED_CT_Concept_ID,Codelist_Name,Med_Code_Id,Observations,Term
"Recurrent reactive depressive episodes, severe, with psychosis (disorder)",b1086471000000103,Psychosis and schizophrenia and bipolar affective disease codes,a424681000006118,400,"Recurrent reactive depressive episodes, severe, with psychosis"
Acute predominantly delusional psychotic disorder (disorder),b1089691000000105,Psychosis and schizophrenia and bipolar affective disease codes,a2730111000000111,10,Acute predominantly delusional psychotic disorder
Subchronic schizophrenia with acute exacerbations (disorder),b111482003,Psychosis and schizophrenia and bipolar affective disease codes,a294730012,100,Acute exacerbation of subchronic schizophrenia
Catatonic schizophrenia in remission (disorder),b111483008,Psychosis and schizophrenia and bipolar affective disease codes,a178723016,80,Catatonic schizophrenia in remission
Undifferentiated schizophrenia (disorder),b111484002,Psychosis and schizophrenia and bipolar affective disease codes,a296031017,1000,Undifferentiated schizophrenia
Undifferentiated schizophrenia (disorder),b111484002,Psychosis and schizophrenia and bipolar affective disease codes,a1219653018,200,Atypical schizophrenia
Undifferentiated schizophrenia (disorder),b111484002,Psychosis and schizophrenia and bipolar affective disease codes,a366571000006114,30,[X]Atypical schizophrenia
Undifferentiated schizophrenia (disorder),b111484002,Psychosis and schizophrenia and bipolar affective disease codes,a371031000006115,1000,[X]Chronic undifferentiated schizophrenia
Chronic disorganized schizophrenia (disorder),b12939007,Psychosis and schizophrenia and bipolar affective disease codes,a294737010,60,Chronic hebephrenic schizophrenia
Mild bipolar disorder (disorder),b13313007,Psychosis and schizophrenia and bipolar affective disease codes,a294882016,400,Mild bipolar disorder
Bipolar disorder (disorder),b13746004,Psychosis and schizophrenia and bipolar affective disease codes,a294880012,50000,Unspecified bipolar affective disorder
Bipolar disorder (disorder),b13746004,Psychosis and schizophrenia and bipolar affective disease codes,a294881011,1000,"Unspecified bipolar affective disorder, unspecified"
Bipolar disorder (disorder),b13746004,Psychosis and schizophrenia and bipolar affective disease codes,a294888017,3000,"Unspecified bipolar affective disorder, NOS"
Bipolar disorder (disorder),b13746004,Psychosis and schizophrenia and bipolar affective disease codes,a294891017,10000,Other and unspecified manic-depressive psychoses
Bipolar disorder (disorder),b13746004,Psychosis and schizophrenia and bipolar affective disease codes,a294892012,5000,Unspecified manic-depressive psychoses
Bipolar disorder (disorder),b13746004,Psychosis and schizophrenia and bipolar affective disease codes,a294896010,800,Other and unspecified manic-depressive psychoses NOS
Bipolar disorder (disorder),b13746004,Psychosis and schizophrenia and bipolar affective disease codes,a296135011,20000,"[X]Bipolar affective disorder, unspecified"
Bipolar disorder (disorder),b13746004,Psychosis and schizophrenia and bipolar affective disease codes,a401865016,1000,[X]Other bipolar affective disorders
Bipolar disorder (disorder),b13746004,Psychosis and schizophrenia and bipolar affective disease codes,a367101000006112,600000,Bipolar affective disorder
Bipolar disorder (disorder),b13746004,Psychosis and schizophrenia and bipolar affective disease codes,a396071000006119,80,[X]Manic-depressive reaction
Bipolar disorder (disorder),b13746004,Psychosis and schizophrenia and bipolar affective disease codes,a396791000006116,20000,Manic-depressive illness
