MedCodeId	Term	Count
1218970019	Haemoglobin saturation with oxygen	8518115
1224401018	SpO2 - oxygen saturation at periphery	1106855
1485401019	Blood oxygen saturation (calculated)	680403
2240131000000113	Peripheral blood oxygen saturation on room air at rest	676490
4087721000006112	Blood oxygen saturation	610099
2378551000000119	Baseline SpO2 (oxygen saturation at periphery)	559642
1806991000006118	Blood oxygen saturation - on room air	117513
1854751000006110	Blood oxygen saturation at rest	35525
1866301000006110	Peripheral blood oxygen saturation on supplemental oxygen at rest	16924
2240171000000110	Peripheral blood oxygen saturation on room air on exertion	8756
1807001000006114	Blood oxygen saturation - on oxygen	2371
259502015	Blood oxygen level normal	647
5287421000006116	SpO2 - Oxygen saturation at periphery	486
1866311000006113	Peripheral blood oxygen saturation on supplemental oxygen on exertion	396
