MedCodeId	Term	Count
150921000006118	Serum cholesterol level	37770826
2478443019	Serum total cholesterol level	4705249
1484985012	Plasma total cholesterol level	1481513
186091018	Total cholesterol measurement	273264
405621000000116	Serum fasting total cholesterol level	10480
667191000006111	Fasting serum cholesterol	6782
259229012	Serum cholesterol raised	4602
259252011	Serum cholesterol NOS	1206
259227014	Serum cholesterol normal	1066
8292941000006114	Total cholesterol level	866
3877651000006116	Cholesterol	385
259228016	Serum cholesterol borderline	306
8290381000006115	Cholesterol level	290
551861000006118	Cholesterol screen	266
259239018	Serum cholesterol studies	225
6279041000006119	Serum cholesterol level	96
