MedCodeId	Term	Count
114311000006111	Systolic arterial pressure	144414202
1780182014	Standing systolic blood pressure	461455
2159155011	Sitting systolic blood pressure	378935
2159157015	Lying systolic blood pressure	67038
125251000006114	Standing Systolic Bp	14032
1808041000006110	Systolic blood pressure - right arm	12707
1808011000006111	Systolic blood pressure - left arm	12352
11903371000006115	O/E - Systolic BP reading	10338
3676271000006117	Systolic blood pressure	465
5527191000006114	Systolic blood pressure	248
